Code;Interest
IAB1;Arts&Entertainment
IAB1-1;Books&Literature
IAB1-2;CelebrityFan/Gossip
IAB1-3;FineArt
IAB1-4;Humor
IAB1-5;Movies
IAB1-6;Music
IAB1-7;Television
IAB2;Automotive
IAB2-1;AutoParts
IAB2-2;AutoRepair
IAB2-3;Buying/SellingCars
IAB2-4;CarCulture
IAB2-5;CertifiedPre-Owned
IAB2-6;Convertible
IAB2-7;Coupe
IAB2-8;Crossover
IAB2-9;Diesel
IAB2-10;ElectricVehicle
IAB2-11;Hatchback
IAB2-12;Hybrid
IAB2-13;Luxury
IAB2-14;Minivan
IAB2-15;Motorcycles
IAB2-16;Off-RoadVehicles
IAB2-17;PerformanceVehicles
IAB2-18;Pickup
IAB2-19;Road-SideAssistance
IAB2-20;Sedan
IAB2-21;Trucks&Accessories
IAB2-22;VintageCars
IAB2-23;Wagon
IAB3;Business
IAB3-1;Advertising
IAB3-2;Agriculture
IAB3-3;Biotech/Biomedical
IAB3-4;BusinessSoftware
IAB3-5;Construction
IAB3-6;Forestry
IAB3-7;Government
IAB3-8;GreenSolutions
IAB3-9;HumanResources
IAB3-10;Logistics
IAB3-11;Marketing
IAB3-12;Metals
IAB4;Careers
IAB4-1;CareerPlanning
IAB4-2;College
IAB4-3;FinancialAid
IAB4-4;JobFairs
IAB4-5;JobSearch
IAB4-6;ResumeWriting/Advice
IAB4-7;Nursing
IAB4-8;Scholarships
IAB4-9;Telecommuting
IAB4-10;U.S.Military
IAB4-11;CareerAdvice
IAB5;Education
IAB5-1;7-12Education
IAB5-2;AdultEducation
IAB5-3;ArtHistory
IAB5-4;CollegeAdministration
IAB5-5;CollegeLife
IAB5-6;DistanceLearning
IAB5-7;Englishasa2ndLanguage
IAB5-8;LanguageLearning
IAB5-9;GraduateSchool
IAB5-10;Homeschooling
IAB5-11;Homework/StudyTips
IAB5-12;K-6Educators
IAB5-13;PrivateSchool
IAB5-14;SpecialEducation
IAB5-15;StudyingBusiness
IAB6;Family&Parenting
IAB6-1;Adoption
IAB6-2;Babies&Toddlers
IAB6-3;Daycare/PreSchool
IAB6-4;FamilyInternet
IAB6-5;Parenting-K-6Kids
IAB6-6;Parentingteens
IAB6-7;Pregnancy
IAB6-8;SpecialNeedsKids
IAB6-9;Eldercare
IAB7;Health&Fitness
IAB7-1;Exercise
IAB7-2;ADD
IAB7-3;AIDS/HIV
IAB7-4;Allergies
IAB7-5;AlternativeMedicine
IAB7-6;Arthritis
IAB7-7;Asthma
IAB7-8;Autism/PDD
IAB7-9;BipolarDisorder
IAB7-10;BrainTumor
IAB7-11;Cancer
IAB7-12;Cholesterol
IAB7-13;ChronicFatigueSyndrome
IAB7-14;ChronicPain
IAB7-15;Cold&Flu
IAB7-16;Deafness
IAB7-17;DentalCare
IAB7-18;Depression
IAB7-19;Dermatology
IAB7-20;Diabetes
IAB7-21;Epilepsy
IAB7-22;GERD/AcidReflux
IAB7-23;Headaches/Migraines
IAB7-24;HeartDisease
IAB7-25;HerbsforHealth
IAB7-26;HolisticHealing
IAB7-27;IBS/Crohn?sDisease
IAB7-28;Incest/AbuseSupport
IAB7-29;Incontinence
IAB7-30;Infertility
IAB7-31;Men?sHealth
IAB7-32;Nutrition
IAB7-33;Orthopedics
IAB7-34;Panic/AnxietyDisorders
IAB7-35;Pediatrics
IAB7-36;PhysicalTherapy
IAB7-37;Psychology/Psychiatry
IAB7-38;SeniorHealth
IAB7-39;Sexuality
IAB7-40;SleepDisorders
IAB7-41;SmokingCessation
IAB7-42;SubstanceAbuse
IAB7-43;ThyroidDisease
IAB7-44;WeightLoss
IAB7-45;Women'sHealth
IAB8;Food&Drink
IAB8-1;AmericanCuisine
IAB8-2;Barbecues&Grilling
IAB8-3;Cajun/Creole
IAB8-4;ChineseCuisine
IAB8-5;Cocktails/Beer
IAB8-6;Coffee/Tea
IAB8-7;Cuisine-Specific
IAB8-8;Desserts&Baking
IAB8-9;DiningOut
IAB8-10;FoodAllergies
IAB8-11;FrenchCuisine
IAB8-12;Health/Low-FatCooking
IAB8-13;ItalianCuisine
IAB8-14;JapaneseCuisine
IAB8-15;MexicanCuisine
IAB8-16;Vegan
IAB8-17;Vegetarian
IAB8-18;Wine
IAB9;Hobbies&Interests
IAB9-1;Art/Technology
IAB9-2;Arts&Crafts
IAB9-3;Beadwork
IAB9-4;Bird-Watching
IAB9-5;BoardGames/Puzzles
IAB9-6;Candle&SoapMaking
IAB9-7;CardGames
IAB9-8;Chess
IAB9-9;Cigars
IAB9-10;Collecting
IAB9-11;ComicBooks
IAB9-12;Drawing/Sketching
IAB9-13;FreelanceWriting
IAB9-14;Genealogy
IAB9-15;GettingPublished
IAB9-16;Guitar
IAB9-17;HomeRecording
IAB9-18;Investors&Patents
IAB9-19;JewelryMaking
IAB9-20;Magic&Illusion
IAB9-21;Needlework
IAB9-22;Painting
IAB9-23;Photography
IAB9-24;Radio
IAB9-25;RoleplayingGames
IAB9-26;Sci-Fi&Fantasy
IAB9-27;Scrapbooking
IAB9-28;Screenwriting
IAB9-29;Stamps&Coins
IAB9-30;Video&ComputerGames
IAB9-31;Woodworking
IAB10;Home&Garden
IAB10-1;Appliances
IAB10-2;Entertaining
IAB10-3;EnvironmentalSafety
IAB10-4;Gardening
IAB10-5;HomeRepair
IAB10-6;HomeTheater
IAB10-7;InteriorDecorating
IAB10-8;Landscaping
IAB10-9;Remodeling&Construction
IAB11;Law,Government,&Politics
IAB11-1;Immigration
IAB11-2;LegalIssues
IAB11-3;U.S.GovernmentResources
IAB11-4;Politics
IAB11-5;Commentary
IAB12;News
IAB12-1;InternationalNews
IAB12-2;NationalNews
IAB12-3;LocalNews
IAB13;PersonalFinance
IAB13-1;BeginningInvesting
IAB13-2;Credit/Debt&Loans
IAB13-3;FinancialNews
IAB13-4;FinancialPlanning
IAB13-5;HedgeFund
IAB13-6;Insurance
IAB13-7;Investing
IAB13-8;MutualFunds
IAB13-9;Options
IAB13-10;RetirementPlanning
IAB13-11;Stocks
IAB13-12;TaxPlanning
IAB14;Society
IAB14-1;Dating
IAB14-2;DivorceSupport
IAB14-3;GayLife
IAB14-4;Marriage
IAB14-5;SeniorLiving
IAB14-6;Teens
IAB14-7;Weddings
IAB14-8;EthnicSpecific
IAB15;Science
IAB15-1;Astrology
IAB15-2;Biology
IAB15-3;Chemistry
IAB15-4;Geology
IAB15-5;ParanormalPhenomena
IAB15-6;Physics
IAB15-7;Space/Astronomy
IAB15-8;Geography
IAB15-9;Botany
IAB15-10;Weather
IAB16;Pets
IAB16-1;Aquariums
IAB16-2;Birds
IAB16-3;Cats
IAB16-4;Dogs
IAB16-5;LargeAnimals
IAB16-6;Reptiles
IAB16-7;VeterinaryMedicine
IAB17;Sports
IAB17-1;AutoRacing
IAB17-2;Baseball
IAB17-3;Bicycling
IAB17-4;Bodybuilding
IAB17-5;Boxing
IAB17-6;Canoeing/Kayaking
IAB17-7;Cheerleading
IAB17-8;Climbing
IAB17-9;Cricket
IAB17-10;FigureSkating
